"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"219091_s_at",1.17130373337122,7.99450463776636,17.6155993401054,1.35029876168917e-33,3.66935454959998e-31,65.9673749178118
"213247_at",1.19230937717558,9.4431665821215,17.5829233877016,1.56821738196996e-33,4.21019131595621e-31,65.8188936349929
"219452_at",1.21743761233146,7.70871375205607,17.5692281471866,1.66977075476467e-33,4.39192638246326e-31,65.7566206251061
"204468_s_at",1.93103162972696,8.29483749833645,17.5685028533715,1.67532981425022e-33,4.39192638246326e-31,65.7533219974967
"217781_s_at",0.985763759584801,9.40860907593458,17.4933415371853,2.36505971059526e-33,6.12797971292956e-31,65.4111201979539
"202759_s_at",1.71443538445461,10.7096438071028,17.4359190041194,3.07930725443029e-33,7.88691994832991e-31,65.1491888532801
"220765_s_at",1.62780482243279,8.32889506258878,17.4159618654917,3.37542472999239e-33,8.54711241572958e-31,65.0580550613741
"219440_at",1.47060968472379,7.26858349456075,17.3937411790183,3.73897281770599e-33,9.32596673949619e-31,64.9565242584396
"219436_s_at",1.80385018960028,8.01355428673832,17.3921358715714,3.76671456516024e-33,9.32596673949619e-31,64.9491868128863
"203063_at",0.653798719864532,8.41043410979439,17.3314332811311,4.9826909475458e-33,1.22010222400179e-30,64.6714866027349
"49452_at",1.05173595742752,7.07038649598131,17.2032334728952,9.01015628711268e-33,2.18231861462752e-30,64.0834388401757
"205866_at",3.503098881886,9.58054525283178,17.1136654196898,1.36461853252178e-32,3.2696553505573e-30,63.6713356168014
"205384_at",1.48807723235222,8.02745004619626,17.1083368303541,1.39878290176324e-32,3.31585951063726e-30,63.6467861623011
"214135_at",3.44641165224666,10.0970032851215,17.0576474764409,1.7700508761768e-32,4.15179407093133e-30,63.4130713737042
"40687_at",0.960383499694582,6.90643821502804,17.0275981033915,2.03544287476809e-32,4.72455974775597e-30,63.2743657758553
"211922_s_at",1.42192688404258,9.42075256479439,17.0127536568212,2.18097078622651e-32,5.0101620648954e-30,63.2058020849899
"218723_s_at",2.243364731924,10.8336918646542,16.9743411833063,2.60802909262314e-32,5.93007268070626e-30,63.0282506097694
"209894_at",2.5943401467537,7.83540139329907,16.9354523666098,3.12622650487922e-32,7.03653587961855e-30,62.8483041905603
"218820_at",1.51402576344476,8.6518601043271,16.919498334096,3.3677058279926e-32,7.5042588965159e-30,62.7744254615244
"40560_at",1.54167924883709,9.31962758488785,16.9071497012007,3.56742584177852e-32,7.87058911211393e-30,62.7172199073645
"201432_at",1.37352734170936,11.4986419791402,16.9045435190462,3.6110763262407e-32,7.8887856644727e-30,62.705144158745
"213169_at",1.42605157942611,8.16403252629907,16.8129158937514,5.5407210572266e-32,1.19867851765224e-29,62.2800335878042
"43427_at",0.885983733039058,7.25933807928037,16.6942934636485,9.65950352914509e-32,2.06964151096096e-29,61.7280818932892
"201577_at",-1.74771340239163,9.70462189485981,-16.6607929970948,1.13048547028627e-31,2.39910549851324e-29,61.5718779342192
"221133_s_at",2.26607584261084,7.90805096834579,16.6469700103401,1.20633799509648e-31,2.53592731554103e-29,61.5073831688022
"209904_at",2.89797732587157,6.99578145203738,16.6377581218015,1.2597096534395e-31,2.62337478575629e-29,61.4643891449872
"203562_at",1.45249988599296,8.84849364971028,16.6181945892386,1.38106757411861e-31,2.8403463588428e-29,61.3730456715466
"215918_s_at",1.16984041074771,7.68052047888785,16.6169170355421,1.38938990761506e-31,2.8403463588428e-29,61.3670789872519
